,Primary,Secondary,Primary,secondary,primary,secondary,primary,secondary
Position,x1,,x2,,y1,,y2,
1,-18362551,458525,18386500,-452815,-18197805,-14614,-18225101,15731
1.5,-18079931,451639,18197959,-448214,-17914451,-14323,-18035809,15544
2,-17891528,446980,17915151,-441275,-17725555,-14097,-17751873,15218
2.5,-17608939,440050,17726606,-436649,-17442212,-13798,-17562590,15028
3,-17420545,435426,17443798,-429691,-17253322,-13590,-17278673,14705
4,-16949552,423859,16972448,-418084,-16781141,-13064,-16805523,14187
8,-15065610,377545,15087049,-371769,-14893325,-10980,-14913882,12091
10,-14123647,354417,14144350,-348602,-13950299,-9930,-13968975,11050
18,-10355757,261810,10373558,-255900,-10188453,-5758,-10199817,6868
20,-9413792,238626,9430849,-232772,-9251477,-4715,-9261073,5838
28,-5645904,146043,5660043,-140086,-5522919,-580,-5525709,1670
36,-1878029,53465,1889250,-47425,-1833605,3532,-1830058,-2441
37,-1407038,41890,1417899,-35816,-1375730,4040,-1371429,-2958
37.5,-1124451,34949,1229362,-31213,-1101386,4347,-1188199,-3158
38,-936050,30333,946552,-24247,-918653,4551,-913602,-3459
38.5,-653453,23364,758006,-19625,-644797,4847,-730703,-3666
39,-465067,18737,475197,-12650,-462390,5054,-456598,-3968
40,5923,7169,3850,-1077,-6967,5553,-441,-4477
